Record Date,Security Type Description,Security Class Description,Securities Sold Count
2023-03-31,Savings Bond,EE,21405
2023-03-31,Savings Bond,I,295592
2023-03-31,Marketable,Bill,281390
2023-03-31,Marketable,Bond,844
2023-03-31,Marketable,Note,12759
2023-02-28,Savings Bond,EE,18431
2023-02-28,Savings Bond,I,278799
2023-02-28,Marketable,Bill,189823
2023-02-28,Marketable,Bond,1469
2023-02-28,Marketable,Note,10698
2023-01-31,Savings Bond,EE,23374
2023-01-31,Savings Bond,I,635832
2023-01-31,Marketable,Bill,187603
2023-01-31,Marketable,Bond,1182
2023-01-31,Marketable,Note,20219
2022-12-31,Savings Bond,EE,33467
2022-12-31,Savings Bond,I,276697
2022-12-31,Marketable,Bill,174293
2022-12-31,Marketable,Bond,268
2022-12-31,Marketable,Note,6096
2022-11-30,Marketable,Note,17586
2022-11-30,Savings Bond,EE,21370
2022-11-30,Savings Bond,I,276331
2022-11-30,Marketable,Bill,182846
2022-11-30,Marketable,Bond,1427
2022-10-31,Savings Bond,EE,19474
2022-10-31,Savings Bond,I,1048630
2022-10-31,Marketable,Bill,145814
2022-10-31,Marketable,Bond,609
2022-10-31,Marketable,Note,23721
2022-09-30,Savings Bond,EE,19217
2022-09-30,Savings Bond,I,471706
2022-09-30,Marketable,Bill,103139
2022-09-30,Marketable,Bond,556
2022-09-30,Marketable,Note,18082
2022-08-31,Savings Bond,EE,18813
2022-08-31,Savings Bond,I,453055
2022-08-31,Marketable,Bill,78722
2022-08-31,Marketable,Bond,1534
2022-08-31,Marketable,Note,14403
2022-07-31,Savings Bond,EE,17840
2022-07-31,Savings Bond,I,454855
2022-07-31,Marketable,Bill,51941
2022-07-31,Marketable,Bond,117
2022-07-31,Marketable,Note,3712
2022-06-30,Savings Bond,EE,18299
2022-06-30,Savings Bond,I,531928
2022-06-30,Marketable,Bill,44679
2022-06-30,Marketable,Bond,619
2022-06-30,Marketable,Note,12597
2022-05-31,Savings Bond,EE,19624
2022-05-31,Savings Bond,I,776312
2022-05-31,Marketable,Bill,38532
2022-05-31,Marketable,Bond,967
2022-05-31,Marketable,Note,15063
2022-04-30,Savings Bond,EE,19345
2022-04-30,Savings Bond,I,580859
2022-04-30,Marketable,Bill,20914
2022-04-30,Marketable,Bond,93
2022-04-30,Marketable,Note,4133
2022-03-31,Savings Bond,EE,18073
2022-03-31,Savings Bond,I,202483
