Record Date,Security Type Description,Security Class Description,Securities Sold Count
2013-07-31,Marketable,Note,2888
2013-07-31,Marketable,TIPS,526
2013-06-30,Savings Bond,EE,28118
2013-06-30,Savings Bond,I,44812
2013-06-30,Marketable,Bill,4908
2013-06-30,Marketable,Bond,252
2013-06-30,Marketable,Note,504
2013-06-30,Marketable,TIPS,108
2013-05-31,Savings Bond,EE,33271
2013-05-31,Savings Bond,I,53444
2013-05-31,Marketable,Bill,7043
2013-05-31,Marketable,Bond,264
2013-05-31,Marketable,Note,1819
2013-05-31,Marketable,TIPS,349
2013-04-30,Savings Bond,EE,34088
2013-04-30,Savings Bond,I,56041
2013-04-30,Marketable,Bill,6017
2013-04-30,Marketable,Bond,195
2013-04-30,Marketable,Note,2584
2013-04-30,Marketable,TIPS,848
2013-03-31,Savings Bond,EE,34105
2013-03-31,Savings Bond,I,54628
2013-03-31,Marketable,Bill,6139
2013-03-31,Marketable,Bond,261
2013-03-31,Marketable,Note,468
2013-03-31,Marketable,TIPS,391
2013-02-28,Savings Bond,EE,32872
2013-02-28,Savings Bond,I,51930
2013-02-28,Marketable,Bill,6087
2013-02-28,Marketable,Bond,340
2013-02-28,Marketable,Note,1848
2013-02-28,Marketable,TIPS,207
2013-01-31,Savings Bond,EE,41818
2013-01-31,Savings Bond,I,67107
2013-01-31,Marketable,Bill,7991
2013-01-31,Marketable,Bond,174
2013-01-31,Marketable,Note,1745
2013-01-31,Marketable,TIPS,559
2012-12-31,Savings Bond,EE,95650
2012-12-31,Savings Bond,I,82005
2012-12-31,Marketable,Bill,6741
2012-12-31,Marketable,Bond,194
2012-12-31,Marketable,Note,1373
2012-12-31,Marketable,TIPS,531
2012-11-30,Savings Bond,EE,44881
2012-11-30,Savings Bond,I,56862
2012-11-30,Marketable,Bill,7065
2012-11-30,Marketable,Bond,214
2012-11-30,Marketable,Note,1825
2012-11-30,Marketable,TIPS,382
2012-10-31,Savings Bond,EE,39364
2012-10-31,Savings Bond,I,56981
2012-10-31,Marketable,Bill,5012
2012-10-31,Marketable,Bond,152
2012-10-31,Marketable,Note,2620
2012-10-31,Marketable,TIPS,138
2012-09-30,Savings Bond,EE,33303
2012-09-30,Savings Bond,I,48392
2012-09-30,Marketable,Bill,4873
2012-09-30,Marketable,Bond,217
2012-09-30,Marketable,Note,466
2012-09-30,Marketable,TIPS,417
2012-08-31,Savings Bond,EE,38106
2012-08-31,Savings Bond,I,55101
2012-08-31,Marketable,Bill,5650
2012-08-31,Marketable,Bond,256
2012-08-31,Marketable,Note,1828
2012-08-31,Marketable,TIPS,549
2012-07-31,Savings Bond,EE,37293
2012-07-31,Savings Bond,I,52806
2012-07-31,Marketable,Bill,4614
2012-07-31,Marketable,Bond,135
2012-07-31,Marketable,Note,2878
2012-07-31,Marketable,TIPS,610
2012-06-30,Savings Bond,EE,37089
2012-06-30,Savings Bond,I,51996
2012-06-30,Marketable,Bill,4679
2012-06-30,Marketable,Bond,174
2012-06-30,Marketable,Note,410
2012-06-30,Marketable,TIPS,149
2012-05-31,Savings Bond,EE,40103
2012-05-31,Savings Bond,I,56101
2012-05-31,Marketable,Bill,6375
2012-05-31,Marketable,Bond,314
2012-05-31,Marketable,Note,1955
2012-05-31,Marketable,TIPS,404
2012-04-30,Savings Bond,EE,41688
2012-04-30,Savings Bond,I,60607
2012-04-30,Marketable,Bill,4906
2012-04-30,Marketable,Bond,207
2012-04-30,Marketable,Note,3095
2012-04-30,Marketable,TIPS,1122
2012-03-31,Savings Bond,EE,41856
2012-03-31,Savings Bond,I,60452
2012-03-31,Marketable,Bill,6027
2012-03-31,Marketable,Bond,256
2012-03-31,Marketable,Note,555
2012-03-31,Marketable,TIPS,610
2012-02-29,Savings Bond,EE,43236
2012-02-29,Savings Bond,I,57601
2012-02-29,Marketable,Bill,5350
2012-02-29,Marketable,Bond,315
2012-02-29,Marketable,Note,2117
2012-02-29,Marketable,TIPS,292
2012-01-31,Savings Bond,EE,43171
2012-01-31,Savings Bond,I,67471
2012-01-31,Marketable,Bill,4858
2012-01-31,Marketable,Bond,154
2012-01-31,Marketable,Note,3109
2012-01-31,Marketable,TIPS,877
2011-12-31,Savings Bond,EE,42135
2011-12-31,Savings Bond,I,58202
2011-12-31,Marketable,Bill,6131
2011-12-31,Marketable,Bond,177
2011-12-31,Marketable,Note,545
2011-12-31,Marketable,TIPS,678
2011-11-30,Savings Bond,EE,24360
2011-11-30,Savings Bond,I,44386
2011-11-30,Marketable,Bill,5209
2011-11-30,Marketable,Bond,217
2011-11-30,Marketable,Note,1974
2011-11-30,Marketable,TIPS,397
2011-10-31,Savings Bond,EE,21737
2011-10-31,Savings Bond,I,44840
2011-10-31,Marketable,Bill,5379
2011-10-31,Marketable,Bond,160
2011-10-31,Marketable,Note,1724
2011-10-31,Marketable,TIPS,179
2011-09-30,Savings Bond,EE,22526
2011-09-30,Savings Bond,I,41413
2011-09-30,Marketable,Bill,6712
2011-09-30,Marketable,Bond,211
2011-09-30,Marketable,Note,2043
2011-09-30,Marketable,TIPS,477
2011-08-31,Savings Bond,EE,21672
2011-08-31,Savings Bond,I,41990
2011-08-31,Marketable,Bill,5216
2011-08-31,Marketable,Bond,295
2011-08-31,Marketable,Note,3565
2011-08-31,Marketable,TIPS,643
2011-07-31,Marketable,TIPS,765
2011-07-31,Savings Bond,EE,20056
2011-07-31,Savings Bond,I,37975
2011-07-31,Marketable,Bill,4811
2011-07-31,Marketable,Bond,244
2011-07-31,Marketable,Note,511
2011-06-30,Savings Bond,EE,20465
2011-06-30,Savings Bond,I,37987
2011-06-30,Marketable,Bill,6362
2011-06-30,Marketable,Bond,256
2011-06-30,Marketable,Note,2147
2011-06-30,Marketable,TIPS,184
2011-05-31,Savings Bond,EE,21807
2011-05-31,Savings Bond,I,42418
2011-05-31,Marketable,Bill,4373
2011-05-31,Marketable,Bond,392
2011-05-31,Marketable,Note,2884
2011-05-31,Marketable,TIPS,544
2011-04-30,Savings Bond,EE,21503
2011-04-30,Savings Bond,I,32538
2011-04-30,Marketable,Bill,3724
2011-04-30,Marketable,Bond,312
2011-04-30,Marketable,Note,454
2011-04-30,Marketable,TIPS,1205
2011-03-31,Savings Bond,EE,21209
2011-03-31,Savings Bond,I,32476
2011-03-31,Marketable,Bill,4585
2011-03-31,Marketable,Bond,365
2011-03-31,Marketable,Note,1272
2011-03-31,Marketable,TIPS,446
2011-02-28,Savings Bond,EE,19680
2011-02-28,Savings Bond,I,30731
2011-02-28,Marketable,Bill,4037
2011-02-28,Marketable,Bond,539
2011-02-28,Marketable,Note,1364
2011-02-28,Marketable,TIPS,445
2011-01-31,Savings Bond,EE,20222
2011-01-31,Savings Bond,I,33150
2011-01-31,Marketable,Bill,3954
2011-01-31,Marketable,Bond,322
2011-01-31,Marketable,Note,1096
2011-01-31,Marketable,TIPS,914
2010-12-31,Savings Bond,EE,23882
2010-12-31,Savings Bond,I,36157
2010-12-31,Marketable,Bill,4490
2010-12-31,Marketable,Bond,319
2010-12-31,Marketable,Note,912
2010-11-30,Savings Bond,EE,19551
2010-11-30,Savings Bond,I,31034
2010-11-30,Marketable,Bill,4067
2010-11-30,Marketable,Bond,285
2010-11-30,Marketable,Note,1357
2010-11-30,Marketable,TIPS,487
2010-10-31,Savings Bond,EE,17187
2010-10-31,Savings Bond,I,29410
2010-10-31,Marketable,Bill,3802
2010-10-31,Marketable,Bond,180
2010-10-31,Marketable,Note,234
2010-10-31,Marketable,TIPS,571
2010-09-30,Savings Bond,EE,14465
2010-09-30,Savings Bond,I,25932
2010-09-30,Marketable,Bill,5162
2010-09-30,Marketable,Bond,178
2010-09-30,Marketable,Note,868
2010-09-30,Marketable,TIPS,577
2010-08-31,Savings Bond,EE,13092
2010-08-31,Savings Bond,I,24732
2010-08-31,Marketable,Bill,4226
2010-08-31,Marketable,Bond,485
2010-08-31,Marketable,Note,1750
2010-07-31,Savings Bond,EE,11909
2010-07-31,Savings Bond,I,23347
2010-07-31,Marketable,Bill,6506
2010-07-31,Marketable,Bond,194
2010-07-31,Marketable,Note,344
2010-07-31,Marketable,TIPS,1001
2010-06-30,Savings Bond,EE,12282
2010-06-30,Savings Bond,I,24446
2010-06-30,Marketable,Bill,6312
2010-06-30,Marketable,Bond,222
2010-06-30,Marketable,Note,2178
2010-05-31,Savings Bond,EE,10834
2010-05-31,Savings Bond,I,22703
2010-05-31,Marketable,Bill,6653
2010-05-31,Marketable,Bond,309
2010-05-31,Marketable,Note,645
2010-04-30,Savings Bond,EE,12031
2010-04-30,Savings Bond,I,28199
2010-04-30,Marketable,Bill,8295
2010-04-30,Marketable,Bond,248
2010-04-30,Marketable,Note,1550
2010-04-30,Marketable,TIPS,3164
2010-03-31,Savings Bond,EE,12923
2010-03-31,Savings Bond,I,28985
2010-03-31,Marketable,Bill,6709
2010-03-31,Marketable,Bond,316
2010-03-31,Marketable,Note,2296
2010-02-28,Savings Bond,EE,11478
2010-02-28,Savings Bond,I,25462
2010-02-28,Marketable,Bill,6829
2010-02-28,Marketable,Bond,804
2010-02-28,Marketable,Note,1403
2010-01-31,Savings Bond,EE,12451
2010-01-31,Savings Bond,I,29838
2010-01-31,Marketable,Bill,6583
2010-01-31,Marketable,Bond,225
2010-01-31,Marketable,Note,384
2010-01-31,Marketable,TIPS,1251
2009-12-31,Savings Bond,EE,17357
2009-12-31,Savings Bond,I,31815
2009-12-31,Marketable,Bill,8148
2009-12-31,Marketable,Bond,200
2009-12-31,Marketable,Note,1089
2009-11-30,Savings Bond,EE,13392
2009-11-30,Savings Bond,I,26065
2009-11-30,Marketable,Bill,7180
2009-11-30,Marketable,Bond,275
2009-11-30,Marketable,Note,2108
2009-10-31,Savings Bond,EE,13214
2009-10-31,Savings Bond,I,21359
2009-10-31,Marketable,Bill,9120
2009-10-31,Marketable,Bond,170
2009-10-31,Marketable,Note,288
2009-10-31,Marketable,TIPS,3297
2009-09-30,Savings Bond,EE,12750
2009-09-30,Savings Bond,I,21186
2009-09-30,Marketable,Bill,7858
2009-09-30,Marketable,Bond,210
2009-09-30,Marketable,Note,1186
2009-08-31,Savings Bond,EE,13004
2009-08-31,Savings Bond,I,22315
2009-08-31,Marketable,Bill,8046
2009-08-31,Marketable,Bond,305
2009-08-31,Marketable,Note,1389
2009-07-31,Savings Bond,EE,13575
2009-07-31,Savings Bond,I,24287
2009-07-31,Marketable,Bill,9927
2009-07-31,Marketable,Bond,151
2009-07-31,Marketable,Note,1213
2009-07-31,Marketable,TIPS,2006
2009-06-30,Savings Bond,EE,13881
2009-06-30,Savings Bond,I,25904
2009-06-30,Marketable,Bill,8006
2009-06-30,Marketable,Bond,215
2009-06-30,Marketable,Note,1824
2009-05-31,Savings Bond,EE,13265
2009-05-31,Savings Bond,I,28022
2009-05-31,Marketable,Bill,8637
2009-05-31,Marketable,Bond,202
2009-05-31,Marketable,Note,241
2009-04-30,Savings Bond,EE,13324
2009-04-30,Savings Bond,I,40508
2009-04-30,Marketable,Bill,10781
2009-04-30,Marketable,Note,763
2009-04-30,Marketable,TIPS,3738
2009-03-31,Savings Bond,EE,14435
2009-03-31,Savings Bond,I,42087
2009-03-31,Marketable,Bill,10062
2009-03-31,Marketable,Bond,78
2009-03-31,Marketable,Note,1386
2009-02-28,Savings Bond,EE,12890
2009-02-28,Savings Bond,I,35622
2009-02-28,Marketable,Bill,9608
2009-02-28,Marketable,Bond,213
2009-02-28,Marketable,Note,790
2009-01-31,Savings Bond,EE,14209
2009-01-31,Savings Bond,I,40550
2009-01-31,Marketable,Bill,10528
2009-01-31,Marketable,Note,85
2009-01-31,Marketable,TIPS,1303
2008-12-31,Savings Bond,EE,20067
2008-12-31,Savings Bond,I,41346
2008-12-31,Marketable,Bill,9918
2008-12-31,Marketable,Note,1479
2008-11-30,Savings Bond,EE,13848
2008-11-30,Savings Bond,I,31373
2008-11-30,Marketable,Bill,13693
2008-11-30,Marketable,Bond,250
2008-11-30,Marketable,Note,391
2008-10-31,Savings Bond,EE,15151
2008-10-31,Savings Bond,I,31088
2008-10-31,Marketable,Bill,21662
2008-10-31,Marketable,Note,925
2008-10-31,Marketable,TIPS,2001
2008-09-30,Savings Bond,EE,15162
2008-09-30,Savings Bond,I,29112
2008-09-30,Marketable,Bill,19308
2008-09-30,Marketable,Note,1957
2008-08-31,Savings Bond,EE,14257
2008-08-31,Savings Bond,I,27711
2008-08-31,Marketable,Bill,19528
2008-08-31,Marketable,Bond,258
2008-08-31,Marketable,Note,232
2008-07-31,Savings Bond,EE,15074
2008-07-31,Savings Bond,I,28857
2008-07-31,Marketable,Bill,25121
2008-07-31,Marketable,Note,892
2008-07-31,Marketable,TIPS,677
2008-06-30,Savings Bond,EE,15484
2008-06-30,Savings Bond,I,28739
2008-06-30,Marketable,Bill,17782
2008-06-30,Marketable,Note,1780
2008-05-31,Savings Bond,EE,16503
2008-05-31,Savings Bond,I,32500
2008-05-31,Marketable,Bill,21529
2008-05-31,Marketable,Bond,189
2008-05-31,Marketable,Note,138
2008-04-30,Savings Bond,EE,16666
2008-04-30,Savings Bond,I,41834
2008-04-30,Marketable,Bill,17162
2008-04-30,Marketable,Note,553
2008-04-30,Marketable,TIPS,1218
2008-03-31,Savings Bond,EE,17389
2008-03-31,Savings Bond,I,34144
2008-03-31,Marketable,Bill,18346
2008-03-31,Marketable,Note,531
2008-02-29,Savings Bond,EE,16701
2008-02-29,Savings Bond,I,31421
2008-02-29,Marketable,Bill,20371
2008-02-29,Marketable,Bond,76
2008-02-29,Marketable,Note,621
2008-01-31,Savings Bond,EE,16712
2008-01-31,Savings Bond,I,30986
2008-01-31,Marketable,Bill,28405
2008-01-31,Marketable,Note,632
2008-01-31,Marketable,TIPS,422
2007-12-31,Savings Bond,EE,23638
2007-12-31,Savings Bond,I,37971
2007-12-31,Marketable,Bill,23625
2007-12-31,Marketable,Note,604
2007-11-30,Savings Bond,EE,17962
2007-11-30,Savings Bond,I,31625
2007-11-30,Marketable,Bill,34212
2007-11-30,Marketable,Bond,64
2007-11-30,Marketable,Note,917
2007-10-31,Savings Bond,EE,18225
2007-10-31,Savings Bond,I,31343
2007-10-31,Marketable,Bill,29182
2007-10-31,Marketable,Note,1560
2007-10-31,Marketable,TIPS,606
2007-09-30,Savings Bond,EE,16308
2007-09-30,Savings Bond,I,28067
2007-09-30,Marketable,Bill,32192
2007-09-30,Marketable,Note,94
2007-08-31,Savings Bond,EE,18657
2007-08-31,Savings Bond,I,31183
2007-08-31,Marketable,Bill,46954
2007-08-31,Marketable,Bond,90
2007-08-31,Marketable,Note,1236
2007-07-31,Savings Bond,EE,18725
2007-07-31,Savings Bond,I,32137
2007-07-31,Marketable,Bill,38585
2007-07-31,Marketable,Note,2390
2007-07-31,Marketable,TIPS,346
2007-06-30,Savings Bond,EE,18156
2007-06-30,Savings Bond,I,31309
2007-06-30,Marketable,Bill,38384
2007-06-30,Marketable,Note,140
2007-05-31,Savings Bond,EE,18618
2007-05-31,Savings Bond,I,32658
2007-05-31,Marketable,Bill,51468
2007-05-31,Marketable,Bond,70
2007-05-31,Marketable,Note,1599
2007-04-30,Savings Bond,EE,19424
2007-04-30,Savings Bond,I,35503
2007-04-30,Marketable,Bill,41194
2007-04-30,Marketable,Note,1970
2007-04-30,Marketable,TIPS,686
2007-03-31,Savings Bond,EE,19608
2007-03-31,Savings Bond,I,36066
2007-03-31,Marketable,Bill,49445
2007-03-31,Marketable,Note,67
2007-02-28,Savings Bond,EE,18685
2007-02-28,Savings Bond,I,34158
2007-02-28,Marketable,Bill,39796
2007-02-28,Marketable,Bond,103
2007-02-28,Marketable,Note,1482
2007-01-31,Savings Bond,EE,20968
2007-01-31,Savings Bond,I,38222
2007-01-31,Marketable,Bill,37618
2007-01-31,Marketable,Note,2022
2007-01-31,Marketable,TIPS,404
2006-12-31,Savings Bond,EE,27907
2006-12-31,Savings Bond,I,42556
2006-12-31,Marketable,Bill,33913
2006-12-31,Marketable,Note,61
2006-11-30,Savings Bond,EE,20808
2006-11-30,Savings Bond,I,38263
2006-11-30,Marketable,Bill,44898
2006-11-30,Marketable,Note,1637
2006-10-31,Savings Bond,EE,21658
2006-10-31,Savings Bond,I,35371
2006-10-31,Marketable,Bill,34245
2006-10-31,Marketable,Note,2100
2006-10-31,Marketable,TIPS,772
2006-09-30,Savings Bond,EE,20215
2006-09-30,Savings Bond,I,33619
2006-09-30,Marketable,Bill,35251
2006-09-30,Marketable,Note,71
2006-08-31,Savings Bond,EE,20471
2006-08-31,Savings Bond,I,35850
2006-08-31,Marketable,Bill,46120
2006-08-31,Marketable,Bond,84
2006-08-31,Marketable,Note,1981
2006-07-31,Savings Bond,EE,21759
2006-07-31,Savings Bond,I,38438
2006-07-31,Marketable,Bill,37821
2006-07-31,Marketable,Note,1433
2006-07-31,Marketable,TIPS,471
2006-06-30,Savings Bond,EE,22247
2006-06-30,Savings Bond,I,41125
2006-06-30,Marketable,Bill,42309
2006-06-30,Marketable,Note,1596
2006-05-31,Savings Bond,EE,22417
2006-05-31,Savings Bond,I,49122
2006-05-31,Marketable,Bill,33469
2006-05-31,Marketable,Note,2955
2006-04-30,Savings Bond,EE,18219
2006-04-30,Savings Bond,I,63346
2006-04-30,Marketable,Bill,28770
2006-04-30,Marketable,TIPS,1280
2006-03-31,Savings Bond,EE,20754
2006-03-31,Savings Bond,I,73850
2006-03-31,Marketable,Bill,32305
2006-03-31,Marketable,Note,1292
2006-02-28,Savings Bond,EE,19200
2006-02-28,Savings Bond,I,69219
2006-02-28,Marketable,Bill,21412
2006-02-28,Marketable,Bond,111
2006-02-28,Marketable,Note,1469
2006-01-31,Savings Bond,EE,20932
2006-01-31,Savings Bond,I,83620
2006-01-31,Marketable,Bill,15411
2006-01-31,Marketable,Note,1535
2006-01-31,Marketable,TIPS,412
2005-12-31,Savings Bond,EE,30365
2005-12-31,Savings Bond,I,85079
2005-12-31,Marketable,Bill,14283
2005-12-31,Marketable,Note,193
2005-11-30,Savings Bond,EE,22001
2005-11-30,Savings Bond,I,85210
2005-11-30,Marketable,Bill,9716
2005-11-30,Marketable,Note,714
2005-10-31,Savings Bond,EE,21523
2005-10-31,Savings Bond,I,56911
2005-10-31,Marketable,Bill,3523
2005-10-31,Marketable,Note,227
2005-10-31,Marketable,TIPS,337
2005-09-30,Savings Bond,EE,21613
2005-09-30,Savings Bond,I,44894
2005-08-31,Savings Bond,EE,22543
2005-08-31,Savings Bond,I,48588
2005-07-31,Savings Bond,EE,21068
2005-07-31,Savings Bond,I,45536
2005-06-30,Savings Bond,EE,21901
2005-06-30,Savings Bond,I,47871
2005-05-31,Savings Bond,EE,23546
2005-05-31,Savings Bond,I,55216
2005-04-30,Savings Bond,EE,27046
2005-04-30,Savings Bond,I,36637
2005-03-31,Savings Bond,EE,23827
2005-03-31,Savings Bond,I,36739
2005-02-28,Savings Bond,EE,21205
2005-02-28,Savings Bond,I,34732
2005-01-31,Savings Bond,EE,24148
2005-01-31,Savings Bond,I,39566
2004-12-31,Savings Bond,EE,33885
2004-12-31,Savings Bond,I,39926
2004-11-30,Savings Bond,EE,26297
2004-11-30,Savings Bond,I,38883
2004-10-31,Savings Bond,EE,19578
2004-10-31,Savings Bond,I,30375
2004-09-30,Savings Bond,EE,19255
2004-09-30,Savings Bond,I,30776
2004-08-31,Savings Bond,EE,20278
2004-08-31,Savings Bond,I,32330
2004-07-31,Savings Bond,EE,19714
2004-07-31,Savings Bond,I,31595
2004-06-30,Savings Bond,EE,20439
2004-06-30,Savings Bond,I,33094
2004-05-31,Savings Bond,EE,19159
2004-05-31,Savings Bond,I,31097
2004-04-30,Savings Bond,EE,21912
2004-04-30,Savings Bond,I,23081
2004-03-31,Savings Bond,EE,22336
2004-03-31,Savings Bond,I,23543
2004-02-29,Savings Bond,EE,18661
2004-02-29,Savings Bond,I,19791
2004-01-31,Savings Bond,EE,19071
2004-01-31,Savings Bond,I,21251
2003-12-31,Savings Bond,EE,15860
2003-12-31,Savings Bond,I,20295
2003-11-30,Savings Bond,EE,9466
2003-11-30,Savings Bond,I,20103
2003-10-31,Savings Bond,EE,6848
2003-10-31,Savings Bond,I,42965
2003-09-30,Savings Bond,EE,5326
2003-09-30,Savings Bond,I,26940
2003-08-31,Savings Bond,EE,4411
2003-08-31,Savings Bond,I,22797
2003-07-31,Savings Bond,EE,2940
2003-07-31,Savings Bond,I,16293
2003-06-30,Savings Bond,EE,2314
2003-06-30,Savings Bond,I,11790
2003-05-31,Savings Bond,EE,1838
2003-05-31,Savings Bond,I,11486
2003-04-30,Savings Bond,I,7948
2003-03-31,Savings Bond,I,5282
2003-02-28,Savings Bond,I,4160
2003-01-31,Savings Bond,I,4910
2002-12-31,Savings Bond,I,2933
2002-11-30,Savings Bond,I,1900
2002-10-31,Savings Bond,I,359
2002-09-30,Savings Bond,I,57
2002-08-31,Savings Bond,I,57
2002-07-31,Savings Bond,I,39
2002-06-30,Savings Bond,I,32
2002-05-31,Savings Bond,I,38
2002-04-30,Savings Bond,I,36
2002-03-31,Savings Bond,I,9
2002-02-28,Savings Bond,I,9
2002-01-31,Savings Bond,I,18
2001-12-31,Savings Bond,I,5
2001-11-30,Savings Bond,I,22
2001-10-31,Savings Bond,I,16
